"doc","language"
"Том мені не допомагає.","ukr"
"Aquele teria sido um crime de oportunidade?","por"
"Ceci n'a rien de nouveau.","fra"
"Oh, no! The tiger is back!","eng"
"Tom e Mary videro i loro nomi sulla lista.","ita"
"Avete una cotta per lui?","ita"
"מתי אמור המאמר להתפרסם?","heb"
"Ĉu vi ankaŭ scipovas itale kalkuli?","epo"
"o weka e ona tan lawa sina.","toki"
"I think Mary should tell Tom that she can't really speak French.","eng"
"Ich werde das Lied noch einmal anstimmen. Dieses Mal etwas höher.","deu"
"Tom is with his mother.","eng"
"У меня только одна конфета осталась.","rus"
"Mia amiko revenos al mi en Francion post unu monato.","epo"
"Wann sind Sie in unserer Stadt angekommen?","deu"
"ビーチに行きましょう。","jpn"
"Ĉu vi aŭskultis la radion hieraŭ?","epo"
"Little by little, the buds on the rosebush in my garden begin to open.","eng"
"En pidä omenoista.","fin"
"Die Apotheke ist nicht weit vom Krankenhaus entfernt.","deu"
"Doing that will be very tiring.","eng"
"L’un d’eux avait apporté dans un panier un écureuil gelé qu’il avait découvert en route.","fra"
"Freŝa akvo kuris el la tubo de la vilaĝa puto. Kio mian koron tuŝis plej: oni plantis apude tiliarbon. Tio estis nekontestebla signo de reviviĝo.","epo"
"מזלי אזל.","heb"
"İnşallah çabuk iyileşirsin.","tur"
"I knew Tom a lot better than you did.","eng"
"Bekle, kız mı dedin yoksa oğlan mı?","tur"
"On collectionne de tout, mais principalement les conneries.","fra"
"In tedesco le parole composte sono scritte come una sola parola!","ita"
"Per virina haro oni povus ŝnuri eĉ grandan elefanton.","epo"
"Я пошел в театр, чтобы посмотреть современную драму.","rus"
"Он усердно занимался, чтобы пройти этот тест.","rus"
"Viroj estas specio malriĉa je amo.","epo"
"Você tem certeza de que não tem problema?","por"
"Mi ne povas fari, kion Tomo faras.","epo"
"メアリーとアリスは同性結婚をしている。","jpn"
"Ya no tengo dinero.","spa"
"Las dos casas están aproximadamente a un metro una de otra.","spa"
"I didn't think that you were listening to me.","eng"
"Még a föld alól is megjelenik az igazság.","hun"
"I can't approve the plan.","eng"
"Oni povas facile diri, ke li estas geniulo.","epo"
"Elle l'a exhorté à travailler plus fort.","fra"
"I came to the realization too late to make a difference.","eng"
"Io non voglio essere distratta.","ita"
"Mary called Tom when she got home.","eng"
"Ha mérges vagy, számolj tízig, ha nagyon mérges vagy, százig.","hun"
"Si vos collègues ne travaillent pas, soit que vous faites leur travail ou je vous licencierai demain matin.","fra"
"הוא שונא טיסות.","heb"
"It will be a surprise!","eng"
"Os estudantes recebem uma bolsa de 15.000 euros para a viagem de ida e volta e gastos diários.","por"
"Из чего делают мыло?","rus"
"Loro sono cambiati.","ita"
"Джон полетів в Америку літаком.","ukr"
"私は英語の谷口先生を尊敬しています。","jpn"
"Tom's family rarely eat together.","eng"
"Ты всерьёз думаешь завести ребёнка?","rus"
"Portatemi un po' di ghiaccio.","ita"
"Os Alpes são uma cadeia de montanhas que se encontra na Suíça, Lichtenstein, Áustria, sul da Alemanha, leste da França e norte da Itália.","por"
"Tom räusperte sich, ehe er weitersprach.","deu"
"टॉमने चुकून आपली पेन ड्राइव्ह कचर्‍यात टाकली.","mar"
"Conocí gente buena.","spa"
"你的结论具有高度争议性。","cmn"
"もっと柔軟な態度をとりなさい。","jpn"
"Não dá para entender o que ela realmente quer.","por"
"Wir sind außer Gefahr.","deu"
"Tom nadiren Pazartesi günü evdedir.","tur"
"Eşim birkaç gün için şehir dışına gidiyor.","tur"
"תרגיש טוב יותר אחרי אמבטיה.","heb"
"O tuhaf, değil mi?","tur"
"Estis hazarda renkonto.","epo"
"Sono un ragazzo.","ita"
"El médico del pueblo ha sido elegido alcalde por segunda vez.","spa"
"当我刚听到消息的时候，我就想哭了。","cmn"
"Scrivo articoli sugli scioperi.","ita"
"Ben onu okumayacağım.","tur"
"彼女は私に便りをくれるという約束を守らなかった。","jpn"
"Найди мне стул, пожалуйста.","rus"
"Jest tak piękna, jak jej matka.","pol"
"You will do well to leave him.","eng"
"Tom yessexṣer iceḍḍiḍen-nnes.","ber"
"Tom mise il suo portafoglio sul tavolo.","ita"
"Mmugren-tent akken igerrez.","ber"
"Ben kapalı yerde vakit geçirmeyi tercih ederim.","tur"
"Tom disse a Mary onde plantar as rosas.","por"
"תום שלושה חודשים מסיום בית הספר.","heb"
"Shouldn't Tom be punished for that?","eng"
"كانت العديد من الكتب سهلة الفهم بينما كانت كتب اخرى عكس ذلك","ara"
"Kada ir kur tu su ja susipažinai?","lit"
"Quante lingue straniere conoscete?","ita"
"Я всю жизнь этим занимаюсь.","rus"
"मला वाटतं मी तुमच्याकडून भरपूर काही शिकू शकतो.","mar"
"И в пятьдесят жизнь только впереди.","rus"
"Mary won't do that today, will she?","eng"
"Abita vicino alla scuola.","ita"
"Tom'un yaptığını söylediği şeyi yaptığından oldukça eminim.","tur"
"Ich hätte Lust, alle ehemaligen französischen Kolonien zu besuchen.","deu"
"Het is donker geworden, hè? Zou het gaan regenen?","nld"
"Како и да е, што ти се случи?","mkd"
"Вы какую предпочитаете: красную или синюю?","rus"
"आम्ही बर्‍याच विषयांबाबत बोललो.","mar"
"Mi komprenas perfekte.","epo"
"Tom morreu de overdose.","por"
"Their marriage is a sham.","eng"
"Hokkaido è a nord di Honshu.","ita"
"Дни длиннее, чем ночи.","rus"
"Ni deziras havi grandan familion.","epo"
"Les musiciens du défilé du carnaval convergent vers la basilique.","fra"
"Çantamı nereye koyabilirim?","tur"
"For her, the honeymoon is over.","eng"
"El profesor le preguntó: ""¿Cuál es la raíz cuadrada de 256?""","spa"
"Tom said that he thought he might need to do that.","eng"
"Ich lebe seit fünf Jahren hier.","deu"
"מר ג'ורדן התעורר לפתע.","heb"
"Tu es un bon journaliste.","fra"
"今夜はぜんぜん勉強する気にならない。","jpn"
"A repülőgép fedélzetén ötszáz utas tartózkodott.","hun"
"Tom yettu ssiwan-is deg lkar.","kab"
"Tom'un arabasını yıkaması gerekiyordu.","tur"
"Xseɣ aselmad ad yari tabrat s Tanglizit.","ber"
"Der Tiger versteckt sich im Bambusdickicht.","deu"
"Tom erken geleceğini umuyor.","tur"
"Schiacciavo il pisolino.","ita"
"他的腿部肌肉在他卧床不起的七个月中萎缩了。","cmn"
"Üç saattir bekliyorum zaten.","tur"
"Ili volas pligrandigi ĝin.","epo"
"Szeretem magam.","hun"
"Pouvez-vous nous dire ce que vous portez ?","fra"
"Vi ne estas sugestanta, ke Tomo povintus fari tion, ĉu?","epo"
"Том почна да мумла.","mkd"
"Возраст тебе к лицу.","rus"
"Ela é grande o bastante para saber a verdade.","por"
"Я не могу завести свой трактор.","rus"
"Mi ne povas donaci al mi tiel bonan filmilon, kia estas la via.","epo"
"Arrête de mettre tes coudes sur la table.","fra"
"bIchegh qar'a'?","tlh"
"Tom ligger i sengen med feber.","dan"
"Mennyibe kerül egy szoba?","hun"
"Hij kan geen honger hebben, hij heeft juist gegeten.","nld"
"Es ist unhöflich, mit dem Finger auf andere zu zeigen.","deu"
"Я принесу вам чего-нибудь поесть.","rus"
"В распоряжении больницы множество дефибрилляторов.","rus"
"彼らは盲目的に指導者に従った。","jpn"
"Muso kuradis sub la lito.","epo"
"Момичето, с което той разговаря, е Нанси.","bul"
"Ich komme vorbei.","deu"
"Она не знала, кто я.","rus"
"Sie hat sich angezogen.","deu"
"Io ha comprate un auto.","ina"
"חתמי כאן, בבקשה.","heb"
"Le parole non servono!","ita"
"二つ質問してもいいですか。","jpn"
"Ŝi rezervis ĉambron en la hotelo.","epo"
"Bizi burada bekle.","tur"
"هرگز آن را حدس نمی‌زدم.","pes"
"È ovvio che è una provocazione?","ita"
"חבקי אותו!","heb"
"La route est en ligne droite sur une distance de plus de dix miles.","fra"
"Хотелось бы, чтобы они перестали драться.","rus"
"I think I speak French better than Tom and Mary do.","eng"
"Rapidiĝu, aŭ ni neniam kaptos la trajnon!","epo"
"Tomo ordigis la litojn.","epo"
"Лейла грабила банки.","rus"
"Пуно ми дугујеш.","srp"
"I should have done this earlier.","eng"
"I have a broken rib.","eng"
"Te lo porto io il caffè!","ita"
"Dove ci registriamo?","ita"
"Eu aprendi com o melhor.","por"
"У этого человека совсем нет денег.","rus"
"Nano parla sei lingue.","ita"
"State andando al mercato.","ita"
"Wir sind miteinander bekannt.","deu"
"あなたのことをさして言っているのではない。","jpn"
"Ho persone che conosco che ne hanno fatto uso e lo continuano ad utilizzare!","ita"
"Az államfők rendőri fedezet mellett üléseznek.","hun"
"Mi ŝatas du virojn.","epo"
"She made believe not to hear him yesterday.","eng"
"As borboletas são belíssimos insetos que simbolizam desde sempre a eternidade.","por"
"Tan pronto acabes, vete de aquí.","spa"
"Wer sind die Typen da?","deu"
"Tom never did that before.","eng"
"Русское предложение, в отличие от английского, однозначно.","rus"
"あの国の経済状態は日ごとに変化する。","jpn"
"Lia disertaĵo rilatas al la mia.","epo"
"Entrambi gli uomini sono morti all'istante.","ita"
"Том едва успел снять пальто, как на него набросились с вопросами.","rus"
"Припини в менi бачити ""нормальну"" людину!","ukr"
"Sie weinte vor Freude, als sie erfuhr, dass ihr Sohn den Flugzeugabsturz überlebt hatte.","deu"
"Speriamo di vedervi presto.","ita"
"Você só pode estar inventando isso.","por"
"Konuşma üçe kadar sürüncemede kaldı.","tur"
"jan Tone li pona lili taso tawa jan Mawi.","toki"
"Я тоже могу это сделать.","rus"
"La Corona rappresenta l'istituzione suprema.","ita"
"Tom non è responsabile di quello che è capitato.","ita"
"Он возразил, что во всём виновата я.","rus"
"Babam son zamanlarda Japonya'ya geri geldi.","tur"
"A kávé, amit ivott, elég drága.","hun"
"トマトばかり食べるのはもういやだ。","jpn"
"Mary said she didn't know that eventually Tom was going to do that.","eng"
"Tom'un kedisi ""Eye of the Tiger"" şarkısını seviyor.","tur"
"Bu sabah istasyona vardım.","tur"
"Did you check all the CDs? Are they OK?","eng"
"I've promised to take Tom and Mary to the beach for a picnic tomorrow.","eng"
"Kim çocuk sahibi olmak hakkında bir şey söyledi?","tur"
"Gelebileceğin günleri bana bildir.","tur"
"Я говорю на японском, английском и французском языках.","rus"
"Jeg har så meget at lave at jeg bliver nødt til at udskyde min rejse.","dan"
"Kim çantamı kurcaladı?","tur"
"Tom hat mich aus Boston angerufen","deu"
"Ayer mi tío se compró un perro.","spa"
"Sami wasn't interested in that.","eng"
"Чтобы быть счастливым, мне нужен солнечный свет.","rus"
"Schon in Ordnung, sieh nur zu, dass du das nicht noch einmal sagst.","deu"
"Tom and Mary didn't get married until they were in their thirties.","eng"
"Aquel zapatero era un santo y un buen hombre.","spa"
"Tom reached in his pocket, pulled out some matches, struck one, and then lit the campfire.","eng"
"Почему ты мне не сказал, что Том здесь?","rus"
"Could Mary do that by herself?","eng"
"彼は新築の家に火災保険をかけた。","jpn"
"Это была сложная проблема.","rus"
"Треба, щоб вона пішла туди сама.","ukr"
"Dokładnie, kochanie.","pol"
"When do you think Tom and Mary are going to arrive?","eng"
"I'd be delighted.","eng"
"Questa è una bomba.","ita"
"O henüz gençken güzel görünüyordu.","tur"
"Bu hiç bahsetmediğimiz bir şey.","tur"
"Ich wüsste gerne, warum Tom das gesagt hat.","deu"
"Je vais leur faire réparer ma voiture.","fra"
"Я принёс тебе воды.","rus"
"Pourquoi ne sortons-nous pas nous bourrer la gueule ?","fra"
"החתול השקט תפס את העכבר.","heb"
"Доста ли ти е тоа?","mkd"
"Ma come fanno ad andare in giro?","ita"
"Tom è un cuoco fantastico, vero?","ita"
"わからないときは遠慮なくご質問ください。","jpn"
"Ĉu necesas, ke mi malvestu min?","epo"
"Ги најде ли некој веќе?","mkd"
"Ты пытаешься мне что-то сказать?","rus"
"Sana iyi olduğumu söyledim.","tur"
"You are doing very well. Keep it up.","eng"
"Oni kaŝas iujn informojn al pacientoj, se estas risko je paniko.","epo"
"Non è troppo tardi.","ita"
"Poteva evitare di frignare come una bambinetta capricciosa?","ita"
"彼女の死のニュースが広まった。","jpn"
"Döşemenin altındaki kaçak borular.","tur"
"You have to take off your shoes before entering houses.","eng"
"Egy fontos döntést meg kell még hoznom.","hun"
"Tom non se ne accorgerà.","ita"
"Ben her zamanki kadar meşgulüm.","tur"
"我單身。","cmn"
"湯姆讓瑪麗幚約翰。","cmn"
"Sokan fertőződtek meg, főleg gyerekek.","hun"
"Ŝi provis ne plori.","epo"
"Kabul etmeye eğilimliyim.","tur"
"Tom and I are both from Australia.","eng"
"The language website, tatoeba.org, was shut down temporarily for maintenance.","eng"
"My mother is like a friend to me.","eng"
"Ja, du siehst scharf aus!","deu"
"Suddenly, the clouds darkened the sky.","eng"
"„Meine weißen Sneaker waren, nachdem ich sie gewaschen hatte, dreckiger als davor.“ － „Und was hast du dann mit ihnen gemacht?“ － „Ich musste sie wegwerfen. So konnte ich mich doch nicht mehr auf der Straße blicken lassen!“","deu"
"Не огорчайся из-за этого. В жизни бывают взлёты и падения.","rus"
"Fred Jane'den hoşlanmaya başladı ve onlar birbiriyle görüşmeye başladı.","tur"
"Levaram-nos os passaportes.","por"
"Ich habe das Dorf besucht, in dem er geboren wurde.","deu"
"Il m'a dit que je devrais faire plus attention.","fra"
"Mi ne volas ĝin, ĉar mi jam havas ĝin.","epo"
"Kie troviĝas via lernejo?","epo"
"You are in my spot.","eng"
"Jeg lader mig ikke koste rundt med af en skiderik fra personaleafdelingen!","dan"
"Ĉu vi manĝus la lastan biskviton sur la telero, se aliaj homoj rigardus?","epo"
"אנו תמיד הולכים לשם! בוא נלך למסעדה צרפתית לשם שנוי.","heb"
"Eu não sou assinante de revista alguma.","por"
"Você não está com vontade de vomitar?","por"
"Alleingang bringt den Tod.","deu"
"Tom offered Mary a chair.","eng"
"Mi estas spektanta la Olimpiajn ludojn.","epo"
"I feel so pretty.","eng"
"Tom végezte el a munka oroszlánrészét.","hun"
"היכן ביתו?","heb"
"Immagino che sia solo una battuta.","ita"
"Ella cantaba bastante bien.","spa"
"Asuntoni on täynnä tavaraa, jota en käytä koskaan.","fin"
"Milyen fajta hal ez?","hun"
"あなたの言うことは正しいかもしれない。","jpn"
"Sie sagen, dass die Zeit das Feuer ist, in dem wir verbrennen.","deu"
"Comment allez-vous effectuer ça ?","fra"
"da bi'unai po'o ckaji de","jbo"
"Nem vagyok finnyás.","hun"
"Altıda kalkmamın sakıncası yok.","tur"
"Onu hastaneden aradım.","tur"
"Einu į biurą.","lit"
"Возможно, нам следует сказать ей.","rus"
"Lütfen anne babanıza saygılarımı iletin.","tur"
"Ŝi akompanas min dum ĉiuj miaj sciencaj ekspedicioj.","epo"
"Nun ekrapidu kaj skribu vian damnan artikolon!","epo"
"Li trafis en merdon.","epo"
"Почему Том меня поцеловал?","rus"
"Ĉu vi uzas la lastajn kromprogramojn?","epo"
"Ти, здається, завжди лишаєшся без грошей в кінці місяця.","ukr"
"Tom söi hiljaisuuden vallitessa.","fin"
"Maria estava ganhando.","por"
"階下に辞書を忘れてきた。","jpn"
"Mary said she'd help Tom as well.","eng"
"Nämä ovat kauniita kukkia.","fin"
"Ma reggel olvastam egy érdekes cikket.","hun"
"Você engordou, não?","por"
"Quelle déception !","fra"
"Li ne fariĝos grandaĝa.","epo"
"Cosa sai di lui?","ita"
"Dov'è Tom oggi?","ita"
"Por favor, haga algo.","spa"
"Она стоит под душем.","rus"
"Illes ganiava le medalia de argento.","ina"
"Agloj, falkoj kaj akcipitroj estas rabobirdoj.","epo"
"La casa di Tom era quasi completamente distrutta.","ita"
"Ŝia patro estas fama kiel klerulo.","epo"
"Así se debería evitar que se expongan situaciones vergonzosas a los ojos de los ciudadanos durante la campaña electoral europea.","spa"
"To bezowocne naciskać go dalej.","pol"
"Ich habe gerade Sushi gegessen und Bier getrunken.","deu"
"道徳家であると言われている。","jpn"
"Gode Nacht alltohoop!","nds"
"Detesto gli adolescenti.","ita"
"Кто это, по-вашему?","rus"
"Privileges of all kinds are the grave of freedom and justice.","eng"
"Elle va lire un livre.","fra"
"Шесть в квадрате даёт тридцать шесть.","rus"
"New York ist eine riesige Stadt.","deu"
"Oni ne moku pri aliuloj.","epo"
"Zejdźmy tą ścieżką.","pol"
"Jag åkte till sjukhuset.","swe"
"Lik čia.","lit"
"La studoj ne tro interesis lin krom la kursoj pri franca lingvo.","epo"
"באיזה בית ספר קבלת תעודה?","heb"
"Ben duyarlıyım.","tur"
"あたりを見回すと、机の上に手紙があるのに気づいた。","jpn"
"Lâu rồi Tom không gặp lại Mary.","vie"
"Per paroloj li bruas, tutan urbon detruas.","epo"
"Tio, verŝajne, estas konata por vi.","epo"
"Год только начался.","rus"
"Том очень хороший танцор.","rus"
"Serve un gruppo d'apertura?","ita"
"Сад у тебя действительно маленький.","rus"
"Tom said that he thought Mary was good-looking.","eng"
"Мы знаем, что нужно сделать.","rus"
"What car did he take?","eng"
"Tom Mary'nin işaret ettiği yere baktı.","tur"
"Aşırı nüfus büyük bir sorundur.","tur"
"Li sidis sur la planko.","epo"
"Se pueden ver reflejos en los charcos.","spa"
"Бегом в постель!","rus"
"Ќе ја следам.","mkd"
"Het gesprek met Tom was erg leuk.","nld"
"Я был вынужден принять его предложение.","rus"
"Toĉjo scipovas paroli la francan preskaŭ tiel bone kiel Maria.","epo"
"Gece yatmaya geç giderim.","tur"
"I'm the one who paid for the tickets.","eng"
"Tom hasn't been accused of any crime.","eng"
"Рано или поздно кому-нибудь придется сказать Тому, что ему надо вести себя как следует.","rus"
"Why speak to them in their own country in a language they don't understand? Why don't you learn their language?","eng"
"Your thirty minutes are almost up.","eng"
"Marie ad ak-tefk ddeɛwessu.","ber"
"Di che nazionalità erano i vostri vicini? ""Estone.""","ita"
"Донбасста Русия гаскәриләре юк. Алар Донецк һәм Луһанск ""халык җөмһүриятләре""ндә яшеренгәннәр.","tat"
"I hate it when hair clogs the drain.","eng"
"З ким поведешся, від того й наберешся.","ukr"
"Tom is expecting Mary.","eng"
"Eu já estava convencido.","por"
"Sen ona tam olarak ne sordun?","tur"
"O çok sevimli ve o gerçekten zekidir.","tur"
"Hast du dich von dem Schock erholt?","deu"
"彼女は大学卒業後まもなく結婚した。","jpn"
"Ĉio estis bona.","epo"
"La infano estis nomita laŭ sia avo Alfredo.","epo"
"Kiam el la reallernejo Bjalistoka li transiris al la pola ĉefurbo kun la gepatroj, Ludoviko Zamenhof eniĝis varsovian gimnazion por klasikaj studoj.","epo"
"To najlepsza restauracja, jaką znam.","pol"
"Ahora me siento mal.","spa"
"Plato stichtte zijn Akademie enkele jaren na de dood van Sokrates.","nld"
"Меня это не устраивает. Возможны другие варианты?","rus"
"L'écureuil grimpa à l'arbre.","fra"
"Mi devis stari malantaŭe por helpi Tom.","epo"
"Vi estis forte impresita.","epo"
"तू खोटं बोललास हे त्यांना सांग.","mar"
"Sie wird dir alles Geld geben, das sie hat.","deu"
"Tom thinks that Mary would be upset if he did that.","eng"
"Ti piacerò.","ita"
"Tom kaptandır.","tur"
"El noi més jove és va quedar enrere dels altres excursionistes.","cat"
"Ben hâlâ mutlu değilim.","tur"
"Mi ne estos ĵaluza.","epo"
"Le sue parole si rivelarono vere.","ita"
"Nous avons perdu contre notre rival dans la concurrence des prix.","fra"
"Ella falleció hace dos días.","spa"
"Ho! Se mi riĉus, mi aĉetus domon en Hispanujo.","epo"
"Hvor er Toms far?","dan"
"La tempo estas la plej granda helpo sur via vojo al sukceso!","epo"
"Tom followed Mary over the bridge.","eng"
"Dan was digging a ditch along the road.","eng"
"Ad tḍefrem Tom, naɣ?","ber"
"Elles n'ont pas le choix.","fra"
"Beni çağırmanıza gerek yoktu.","tur"
"Пожалуйста, обдумайте.","rus"
"¡Necesitamos aceite y algo más!","spa"
"Quanto costa l'uva al chilo?","ita"
"Tom ist nie pünktlich.","deu"
"Ha egy hazugságot sokszor elismétlünk, attól az nem válik igazzá, viszont egyre többen el fogják hinni.","hun"
"हो, मला तहान लागली आहे.","mar"
"Tom Mary'ye yalan söyledi mi?","tur"
"Cyclopes pastores erant et in speluncis habitabant.","lat"
"N'étaient les gens ni leurs travers, quel paradis, cet univers !","fra"
"今日は、春らしい暖かい日でした。","jpn"
"Es ist zwei Uhr nachmittags.","deu"
"Tom bajó corriendo las escaleras.","spa"
"Non ho cercato di fermarlo.","ita"
"Kostis al mi tricent dolaroj por la riparado de mia aŭto.","epo"
"Sen ve ben bir ara beraber öğle yemeği yemeliyiz.","tur"
"İngilizcenin birçok Fransızca sözcükleri var.","tur"
"Вам ясна задача?","rus"
"Ты бесподобна.","rus"
"Вот вам контрпример.","rus"
"Eu não tenho muito tempo hoje de manhã.","por"
"That finch is performing its cute little dentistry on a crocodile over there.","eng"
"Mi accorsi di essere osservato.","ita"
"Per piacere, ascoltami.","ita"
"I hope Tom tells Mary that he can't really speak French.","eng"
"Konudan uzaklaştıktan sonra konuya geri döndü.","tur"
"Du vet inte vem jag är.","swe"
"Koks malonus netikėtumas!","lit"
"どんなに高くてもあのクラシックカーを手に入れたい。","jpn"
"Теперь настроение совсем упало.","rus"
"彼はその年の最良の作家としてほめたたえられた。","jpn"
"Mi ne volas, ke vi ripetu mian eraron.","epo"
"Pensavo che Tom fosse qui con lei.","ita"
"Où sont les couvertures, s'il te plaît ?","fra"
"I hope we can find the opportunity to do that.","eng"
"तुम्ही किती वाजता येऊ शकता?","mar"
"¿Qué te apetece comer?","spa"
"De oude man is heel vriendelijk.","nld"
"Das Problem hat mir lange zu schaffen gemacht, aber jetzt ist mir ein Licht aufgegangen.","deu"
"Tio estas nur miskompreno.","epo"
"Der Film war in Japan kein Erfolg.","deu"
"Он тоже идет плавать.","rus"
"Neden pantolonum kısa?","tur"
"Сами навещал свою дочь раз в две недели на выходных.","rus"
"Tom foi ao centro.","por"
"私たちはボートでその川を渡ります。","jpn"
"İnsanlar onun hakkında konuşuyor.","tur"
"ガソリンは燃料として使われる。","jpn"
"Vous allez recommencer.","fra"
"Вы когда-нибудь были в Вашингтоне — столице Соединенных Штатов Америки?","rus"
"Tom could hear everything.","eng"
"Niin oli viime viikolla.","fin"
"Tom okuldan eve kadar ağladı.","tur"
"Tom me agradeceu por ter mudado a sua vida.","por"
"Egy naplót vezetek három éve francia nyelven.","hun"
"Ne sono piuttosto fiero.","ita"
"Вечеринка состоится в субботу.","rus"
"Tom hesitated for a moment before answering Mary.","eng"
"תמיד הייתי קוּל.","heb"
"Ĉu ni aĉetis la plej favorprezan panon?","epo"
"Biz hiç saygısızlık amaçlamayız.","tur"
"もう犬に餌やった？","jpn"
"Denne banegård er røgfri.","dan"
"Pil düşük olduğunda benim cep telefonu bip sesi verir.","tur"
"I don't have the courage to tell Tom the truth.","eng"
"Nothing is wrong with you. It's not your fault.","eng"
"Que pescaste hoje?","por"
"Tom conhece Maria desde quando eram crianças.","por"
"Tom'un planının ne olduğuyla ilgili hiçbir fikrim yok.","tur"
"Ils copient une phrase.","fra"
"Huc venimus ut novum oppidum aedificemus.","lat"
"Çoğu zaman onların istediklerini vermek zorunda kaldık.","tur"
"¿No estuvieron ellos un largo tiempo en el pueblo?","spa"
"Tom'u suçsuz kabul edelim.","tur"
"Tom was very intoxicated.","eng"
"He was very old and ill.","eng"
"Семі називав свого уявного друга Фаридом.","ukr"
"What's this? ""Some flowers for you.""","eng"
"It's the least of my concerns.","eng"
"Adoro la natura.","ita"
"Вам стане краще.","ukr"
"Meidän kaikkien täytyy kuolla.","fin"
"They need to go.","eng"
"תום שאל כמה עולה הכרטיס.","heb"
"Екзамен був для мене заважким.","ukr"
"No puedo averiguar cómo eliminar lo que acabo de postear.","spa"
"Odottelen tyttöystävääni.","fin"
"Mi ŝatas la stilon de Picasso, inter aliajn.","epo"
"Том вас ещё помнит.","rus"
"Tom TV'de spor izlemekten hoşlanıyor.","tur"
"Janúar er fyrsti mánuður ársins.","isl"
"Yakında yapraklar düşmeye başlayacak.","tur"
"Йоу, парень, эта херня очуменная.","rus"
"Úgy néz ki, hogy rossz idő jön ránk.","hun"
"Нет необходимости делать это.","rus"
"I think I have a future here.","eng"
"Влегувај.","mkd"
"What if Tom is wrong?","eng"
"Le passage suivant est un extrait d'une fable très connue.","fra"
"Ты мне голову не морочь.","rus"
"Pan jest poważnie chory.","pol"
"Je me suis cachée sous la table.","fra"
"Ils m'y firent aller.","fra"
"¿Has oído de él?","spa"
"It isn't too late to call this off.","eng"
"知事には現在の困難に対処できるだけの能力がある。","jpn"
"Are you really going to Australia the day after tomorrow?","eng"
"Он постоянно теряет свой мобильный телефон.","rus"
"Mary, neden ağlıyorsun?","tur"
"His desire for promotion blinded him to other's feelings.","eng"
"Sünd de Ladens in England sünndags dicht?","nds"
"Nessuno lo sa per certo.","ita"
"Это был визит вежливости.","rus"
"Fatto.","ita"
"Том найдёт тебя и прирежет.","rus"
"It's much safer here than where Tom is.","eng"
"Tom stand unter so großem Stress, dass er davon Haarausfall bekam.","deu"
"Чому Том має це зробити для Мері?","ukr"
"Avete colpito Tom?","ita"
"Mi ne tiel bone scias la francan.","epo"
"Malsato faris lin ŝtelinto.","epo"
"Tom's arm must be amputated.","eng"
"Gelmeden önce beni lütfen telefonla ara, lütfen.","tur"
"Juste entre toi et moi, aimes-tu ma sœur ?","fra"
"Tudo quanto possível eu fiz para isso, e creio que mostraste o máximo interesse no absorver, não só essas regras, mas também o “espírito” desta admirável criação do mestre Zamenhof.","por"
"Не волнуйся! Всё пройдёт гладко!","rus"
"Tom no pudo ocultar su decepción.","spa"
"Ĉirkaŭ la laguno arboj abundas.","epo"
"Gliel'ha dato?","ita"
"Tiesiog duokite man tai, ko aš noriu.","lit"
"1994'te Japonya'da su ve pirinç kıtlığı oldu.","tur"
"Elle sait patiner.","fra"
"Mi prefere ne manĝu tion.","epo"
"Povos esti ankoraŭ pli bona?","epo"
"Mi kredis, ke mi perdis vin.","epo"
"Ich wollte dich nur stolz machen.","deu"
"Es tut mir leid, das zu hören.","deu"
"Ur la tettlusumt iceḍḍiḍen-nwent.","ber"
"La pluie frappe contre les fenêtres.","fra"
"Том го прочита на глас.","mkd"
"जितना ज़्यादा हम सीखते हैं, उतना हि बहतर हमें हमारी अज्ञानता का अहसास होता है।","hin"
"彼女は病気だったようだ。","jpn"
"Ur yelli yettasem.","ber"
"Tom può farlo qua.","ita"
"Un tal Henry quería verte.","spa"
"Denn eben wo Begriffe fehlen, da stellt ein Wort zur rechten Zeit sich ein.","deu"
"Allen var gefið vandamál sem var ómögulegt að leysa.","isl"
"Je těžký naučit se esperantsky?","ces"
"Что это за рыба?","rus"
"Я бы хотел, чтобы этим вечером вы были моим гостем.","rus"
"Otan tämän takin.","fin"
"אינני יכול לעשות את זה עדיין.","heb"
"Том слышал звук.","rus"
"Нам треба зупинитися тут та заправитися.","ukr"
"Tom signaled Mary with his eyes.","eng"
"Это-то и делает игру интересной.","rus"
"Peter the Cruel is also known as Peter the Just.","eng"
"Similarly, the strongest reasons for stopping are usually the short-term benefits (for example, feeling healthier and more attractive).","eng"
"Sihirli kelime nedir?","tur"
"Monday comes after Sunday.","eng"
"J'ai essayé d'embrasser Mary.","fra"
"Bu gömlek pis. Okuldan sonra onu yıka.","tur"
"Здається, ніхто не знає, для чого це використовується.","ukr"
"Lliɣ ttrusuɣ-d.","ber"
"Tom is just not the kind of person I thought he was.","eng"
"Я должен достать немного молока.","rus"
"Везде всё время ходит в разном виде, мелькая между стульев и диванов, народных упований жрец и лидер – Адольф Виссарионович Ульянов.","rus"
"Tomo ŝatas frumatene sidi sur la strando.","epo"
"Dio ne ekzistas.","epo"
"Niçin Tom'dan nasihat istemeyi denemiyorsun?","tur"
"He is always complaining of this and that.","eng"
"Per favore, ascoltate!","ita"
"I can do nothing with this naughty boy.","eng"
"Marista on juuri tullut todella terveen poikavauvan äiti.","fin"
"a'o ra vamji","jbo"
"Tom thought Mary would be at John's party.","eng"
